OBJECTID,FEATURE_ID,OPERATIONAL,LENGTH,DIRECTION,CARRIAGEWAY,ROAD_NAME,BOROUGH,WEEK_DAYS,SATURDAY,SUNDAY,EVENT_DAYS,VEHICLES,ROUTE,LANE_TYPE,ROADTYPE,YEAR_REMOVED,DATASET_LAST_UPDATED,Shape__Length
50833,e33b1812-7f92-4f5f-8406-6503010c30db,Live,131,South West,Nearside,Lower Clapton Road,Hackney,07:00-19:00,07:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","38, 55, 106, 242, 253, 254, N38, N55, N242, N253",Not Applicable,Borough,,2024/08/13 00:00:00+00,130.719988069436
50834,5f78f338-967e-4bce-bd3c-2ca7d13511f4,Live,122,East,Nearside,Woolwich Road,Greenwich,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle and Taxi","161, 177, 180, 472, N1",Not Applicable,Borough,,2024/08/13 00:00:00+00,122.07391557015
50835,cc91b543-5391-4747-b550-d73a823ccd65,Live,150,East,Nearside,Lambeth Bridge,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","3, C10, N3",Not Applicable,TLRN,,2024/08/13 00:00:00+00,149.959286549988
50836,2ea11fb7-f1df-445a-b5ed-8d3ad0de4c11,Live,123,South East,Nearside,Green Lanes,Hackney,07:00-10:00,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","141, 341",Not Applicable,Borough,,2024/08/13 00:00:00+00,122.795321961291
50837,531cd027-4d22-46ed-8f97-1b8d463d585d,Live,430,East,Nearside,Ruislip Road,Ealing,"07:00-10:00, 16:00-19:00",10:00-18:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","95, 105, 282, E6, E7, E9, N7, Y7N",Not Applicable,Borough,,2024/08/13 00:00:00+00,429.777025662869
50838,e15606ee-693d-489e-8702-b17ade016e44,Live,423,North West,Nearside,Finchley Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","13, 113, N113, UL92",Not Applicable,TLRN,,2024/08/13 00:00:00+00,423.38913734347
50839,18843b17-a1d2-42b9-8283-01db116e08dc,Live,216,East,Nearside,City Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","21, 43, 76, 135, 141, 205, 214, N205, N271",Not Applicable,TLRN,,2024/08/13 00:00:00+00,216.439344856753
50840,b701d49d-c0ea-40f6-a8a8-02a2b9de7787,Live,1520,North,Nearside,Brixton Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","3, 59, 133, 159, 415, 759, N3, N109, N133, SL6",Not Applicable,TLRN,,2024/08/13 00:00:00+00,1519.97146767756
50841,4d542980-4896-462e-a183-5c1727806e0a,Live,789,North West,Nearside,Holloway Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","17, 43, 263, N41, N271, UL8, UL28",Not Applicable,TLRN,,2024/08/13 00:00:00+00,789.142545520179
50842,453ac9b9-e026-4f6e-ad45-57974a6ec6f1,Live,109,North West,Nearside,Waterloo Bridge,Lambeth,07:00-19:00,07:00-19:00,07:00-19:00,Not Applicable,"Bus, Cycle and Taxi","1, 59, 68, 76, 139, 172, 176, 188, 243, 341, N1, N68, N171, N343, SL6",Not Applicable,Borough,,2024/08/13 00:00:00+00,108.850585131598
50843,b3b7f3e1-65b3-444f-b783-62e463c214fc,Live,94,South East,Nearside,Westwood Hill,Lewisham,07:00-19:00,07:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","122, 450",Not Applicable,Borough,,2024/08/13 00:00:00+00,93.8785836200604
50844,7e7d3211-1bfe-40fc-b7aa-69e6619758bf,Live,143,North,Nearside,Wood Lane,Hammersmith & Fulham,07:00-19:00,07:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","72, 95, 220, 272, 283, N72, UL1, UL36, Y7, Y7N, Y31",Not Applicable,Borough,,2024/08/13 00:00:00+00,142.564361084153
50845,1c59b490-6a28-477d-8e97-81f562ff0186,Live,210,North,Nearside,London Road,Enfield,"07:00-10:00, 16:00-19:00",07:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","329, 377, 629, N29, W8",Not Applicable,Borough,,2024/08/13 00:00:00+00,209.90274723432
50846,079a8702-9287-4044-a027-05dfeb4112f3,Live,259,South East,Nearside,Adelaide Avenue,Lewisham,15:00-19:00,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle and Taxi",122,Not Applicable,Borough,,2024/08/13 00:00:00+00,259.142103437761
50847,3e181175-e8ed-4037-991c-0e8bd35708ac,Live,91,South East,Nearside,Harrow Road,Brent,07:00-19:00,07:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle, Motorcycle and Taxi","18, 92, 182, 245, N18, UL19, UL92, Y18, Y18N",Not Applicable,Borough,,2024/08/13 00:00:00+00,90.6776067839503
50848,294207c9-363c-41e8-8b68-dbee17a6b390,Live,125,North,Nearside,Mildmay Park,Islington,16:00-19:00,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle and Taxi",141,Not Applicable,Borough,,2024/08/13 00:00:00+00,125.365410159292
50849,a54326c8-b85a-4806-a20d-502a03c511c6,Live,193,North East,Nearside,Mitcham Lane,Lambeth,07:00-19:00,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","57, 201, 333",Not Applicable,Borough,,2024/08/13 00:00:00+00,193.482708774371
50850,cd9134d8-a538-4af9-b7ac-78c094dcafdd,Live,109,North,Nearside,Streatham High Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","50, 60, 109, 118, 249, 250, 255, G1, N109, N133, N250",Not Applicable,TLRN,,2024/08/13 00:00:00+00,108.624001816321
50851,9b44a63d-1546-4d3b-81f1-2b73e2098ed7,Live,221,North East,Nearside,Mile End Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","25, 205, 339, N25, N205, UL79",Not Applicable,TLRN,,2024/08/13 00:00:00+00,221.382500686684
50852,03bf80c0-d583-47b6-8ae0-9ee398ee2ba5,Live,389,North East,Nearside,Kennington Park Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","133, 155, 333, 415, N133, N155",Not Applicable,TLRN,,2024/08/13 00:00:00+00,388.691069423036
50853,7ae19999-81b6-49cd-a22e-b200b98e507d,Live,313,North West,Nearside,Hospital Bridge Road,Richmond upon Thames,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle and Taxi","281, 481, H22",Not Applicable,Borough,,2024/08/13 00:00:00+00,312.784065022673
50854,e0cc9752-18a4-4024-9cdd-062a087ffde0,Live,62,South,Nearside,A1010 High Road,Haringey,07:00-13:00,07:00-13:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","149, 259, 279, 349, N279, UL18, UL50, UL65, UL66",Not Applicable,Borough,,2024/08/13 00:00:00+00,62.4958767190939
50855,caaff671-c8a8-4671-b651-4202ce06dc1b,Live,363,West,Nearside,Mile End Road,Transport for London,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,"Bus, Cycle, Motorcycle and Taxi","25, 205, N25, N205, UL79",Not Applicable,TLRN,,2024/08/13 00:00:00+00,362.71799277627
50856,7a2b3c40-92e3-4165-8266-025030b0c80a,Live,185,West,Nearside,Twyford Abbey Road,Brent,24 Hours (All Day),24 Hours (All Day),24 Hours (All Day),Not Applicable,Bus and Cycle,"224, 440",Not Applicable,Borough,,2024/08/13 00:00:00+00,185.461311680526
50857,c3130bc7-1344-45b4-8e69-fed71e556a1c,Live,165,North,Nearside,Fulham Palace Road,Hammersmith & Fulham,"07:00-10:00, 16:00-19:00","07:00-10:00, 16:00-19:00",Not in Operation,Not Applicable,"Bus, Cycle, Motorcycle and Taxi","190, 211, 220, 295, N11, N33, N72, N97, UL26, Y295",Not Applicable,Borough,,2024/08/13 00:00:00+00,164.86598105946
50858,fc23dd4a-34f3-498f-a361-9757a4ee745c,Live,108,West,Nearside,Acre Lane,Lambeth,07:00-19:00,07:00-19:00,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","35, 37, 355, 690, P5, UL3",Not Applicable,Borough,,2024/08/13 00:00:00+00,107.838568706407
50859,917f6d25-cc9b-4481-81c2-72c4b758df9b,Live,89,South,Nearside,Green Lanes,Haringey,07:00-10:00,Not in Operation,Not in Operation,Not Applicable,"Bus, Cycle and Taxi","29, 141, N29, UL63",Not Applicable,Borough,,2024/08/13 00:00:00+00,88.8702693051006
